요구사항ID,LV1,LV2,LV3,요구사항명,상세 요구사항 정의,우선순위,참조,대상 시스템,,,작성자,작성일,변경일,변경구분,개발 수용여부,화면설계서 pg
,,,,,,,PC,MO웹,MO앱,어드민,,,,
REQ_AUTH_001,인증,소셜 로그인,카카오 OAuth 로그인,카카오 OAuth를 통한 사용자 인증 및 회원가입,"- 카카오 로그인 버튼 클릭 시 카카오 OAuth 인증 페이지로 리다이렉트<br>- 카카오 계정으로 로그인 및 동의<br>- OAuth 콜백으로 인증 코드 수신<br>- Supabase Auth를 통해 사용자 정보 조회/생성<br>- 사용자 정보를 localStorage에 저장<br>- returnUrl이 있으면 해당 페이지로, 없으면 프로젝트 목록 또는 배지 선택 페이지로 이동<br>- 에러 발생 시 에러 메시지 표시 및 로그인 페이지 유지",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_AUTH_002,인증,세션 관리,로그인 상태 확인 및 유지,"- 로그인한 사용자의 정보를 localStorage에 저장<br>- 페이지 이동 시 자동으로 로그인 상태 확인<br>- 로그인하지 않은 사용자는 보호된 페이지 접근 시 로그인 페이지로 리다이렉트<br>- 로그인 상태는 Supabase Auth와 동기화<br>- 세션 만료 시 자동 로그아웃 처리",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_AUTH_003,인증,로그아웃,사용자 로그아웃,"- 로그아웃 버튼 클릭 시 Supabase Auth 세션 종료<br>- localStorage의 사용자 정보 삭제<br>- 로그인 페이지로 리다이렉트",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_001,프로젝트 관리,프로젝트 조회,프로젝트 목록 조회,"- 로그인한 사용자의 모든 프로젝트 조회<br>- 프로젝트 카드 형식으로 표시 (프로젝트명, 설명, 노드 개수, 최근 수정일)<br>- 즐겨찾기 프로젝트 우선 표시<br>- 최근 수정일 기준 내림차순 정렬<br>- 프로젝트 클릭 시 해당 프로젝트의 마인드맵 편집 페이지로 이동",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_002,프로젝트 관리,프로젝트 생성,새 마인드맵 프로젝트 생성,"- 프로젝트 목록에서 '새 프로젝트' 버튼 클릭<br>- 배지 선택 페이지로 이동<br>- 배지 선택 후 프로젝트 생성 (REQ_PROJECT_002_001 참조)",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_002_001,프로젝트 관리,프로젝트 생성,배지 선택,경험 유형 배지 선택,"- 로그인 확인 후 배지 선택 페이지 진입<br>- 8가지 배지 중 원하는 배지 선택 (인턴, 학업, 동아리, 프로젝트, 아르바이트, 봉사활동, 공모전, 기타)<br>- 여러 개 배지 선택 가능 (최소 1개 이상 필수)<br>- '기타' 배지 선택 시 커스텀 라벨 입력 가능<br>- 선택한 배지 정보를 시각적으로 표시 (체크 표시)<br>- 완료 버튼 클릭 시 프로젝트 초기화 진행 (REQ_PROJECT_002_002 참조)",상,REQ_PROJECT_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_002_002,프로젝트 관리,프로젝트 생성,프로젝트 초기화,마인드맵 프로젝트 자동 생성,"- 배지 선택 완료 시 UUID 형식의 프로젝트 ID 생성<br>- 프로젝트명 자동 생성: '{사용자명}의 경험 맵'<br>- 중앙 노드 생성 (사용자명 또는 '나'로 설정)<br>- 선택한 배지 수만큼 대분류 노드 생성 (원형 배치)<br>- 각 배지 노드는 중앙 노드의 자식으로 연결<br>- 프로젝트 정보를 Supabase DB에 저장<br>- 마인드맵 편집 페이지로 이동",상,REQ_PROJECT_002_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_003,프로젝트 관리,프로젝트 수정,프로젝트 정보 수정,"- 프로젝트 설정에서 프로젝트명, 설명 수정 가능<br>- 수정 내용을 Supabase DB에 저장<br>- 변경 사항 즉시 반영",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_004,프로젝트 관리,프로젝트 삭제,마인드맵 프로젝트 삭제,"- 프로젝트 설정에서 삭제 버튼 클릭<br>- 삭제 확인 다이얼로그 표시<br>- 확인 시 프로젝트 및 관련 노드, STAR 에셋 모두 삭제<br>- 프로젝트 목록 페이지로 이동",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_005,프로젝트 관리,프로젝트 즐겨찾기,프로젝트 즐겨찾기 설정,"- 프로젝트 카드에서 즐겨찾기 아이콘 클릭<br>- 즐겨찾기 상태 토글 (추가/제거)<br>- 즐겨찾기 프로젝트는 목록 상단에 우선 표시<br>- 즐겨찾기 상태를 Supabase DB에 저장",하,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_NODE_001,노드 관리,노드 생성,마인드맵 노드 추가,"- 부모 노드에 마우스 오버 시 '+' 버튼 표시<br>- '+' 버튼 클릭 또는 우클릭 메뉴에서 '하위 노드 추가' 선택<br>- 방향 선택 (오른쪽, 왼쪽, 위, 아래)<br>- 노드 레벨에 따라 자동으로 노드 타입 설정 (대분류, 경험, 에피소드, 상세)<br>- 기본 라벨 자동 생성 (레벨별 기본값)<br>- 노드 정보를 Supabase DB에 저장<br>- 즉시 편집 모드로 전환",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_NODE_002,노드 관리,노드 수정,노드 라벨 및 정보 수정,"- 노드 더블클릭 또는 우클릭 메뉴에서 '편집' 선택<br>- 인라인 편집 모드로 전환<br>- 라벨 텍스트 수정<br>- Enter 키 또는 포커스 아웃 시 저장<br>- 수정 내용을 Supabase DB에 저장<br>- 변경 사항 즉시 반영",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_NODE_003,노드 관리,노드 삭제,마인드맵 노드 삭제,"- 노드 우클릭 메뉴에서 '삭제' 선택<br>- 삭제 확인 다이얼로그 표시 (하위 노드 포함 삭제 안내)<br>- 확인 시 해당 노드 및 모든 하위 노드 삭제<br>- 관련 STAR 에셋도 함께 삭제<br>- 삭제 내용을 Supabase DB에 반영<br>- 변경 사항 즉시 반영",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_NODE_004,노드 관리,노드 이동,노드 위치 이동,"- 노드를 드래그하여 위치 이동<br>- 드롭 시 새로운 좌표(x, y) 저장<br>- 위치 변경 내용을 Supabase DB에 저장<br>- 변경 사항 즉시 반영<br>- 부모-자식 관계는 유지 (계층 구조 보존)",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_NODE_005,노드 관리,노드 선택,노드 선택 및 상세 정보 표시,"- 노드 클릭 시 선택 상태로 변경 (시각적 강조)<br>- 선택된 노드의 상세 정보를 사이드바에 표시<br>- AI 챗봇 자동 표시 (STAR 작성 시작)<br>- 다른 노드 클릭 시 이전 노드 선택 해제 및 새 노드 선택",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_NODE_006,노드 관리,태그 드롭,역량 태그를 노드에 드롭,"- 공백 진단의 추천 인벤토리에서 역량 태그를 마인드맵 노드로 드롭<br>- 태그 드롭 시 노드 추가 확인 다이얼로그 표시<br>- 노드 이름 입력 필드 제공 (노드 층위에 따른 안내 문구 표시)<br>- 관련 역량 태그 정보 표시<br>- 생성하기 버튼 클릭 시 새 노드 생성 및 AI 어시스턴트 자동 열기",상,REQ_GAP_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_CANVAS_001,캔버스 조작,캔버스 이동,마인드맵 캔버스 이동,"- Ctrl/Cmd 키를 누른 상태에서 드래그하여 캔버스 이동<br>- 캔버스 위치 정보 저장 (viewport 좌표)<br>- 부드러운 이동 애니메이션 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_CANVAS_002,캔버스 조작,줌 인/아웃,마인드맵 줌 기능,"- Alt 키를 누른 상태에서 마우스 휠로 줌 인/아웃<br>- 줌 레벨 표시 (선택사항)<br>- 최소/최대 줌 레벨 제한<br>- 부드러운 줌 애니메이션 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_TAB_001,노드 탭 관리,노드 탭 생성,노드 탭 생성 및 관리,"- 노드 우클릭 메뉴에서 '새 탭에서 열기' 선택<br>- 새 탭에서 해당 노드를 중심으로 마인드맵 표시<br>- 탭 간 전환 가능<br>- 탭 닫기 기능",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ASSISTANT_001,AI 어시스턴트,대화 시작,AI 챗봇을 통한 STAR 대화 시작,"- 노드 선택 시 오른쪽 사이드바에 AI 챗봇 자동 표시<br>- 노드 타입과 레벨에 따라 적절한 시작 질문 제공<br>- 대화형 인터페이스로 사용자와 상호작용<br>- 대화 내역을 채팅 형식으로 표시 (사용자/AI 구분)",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ASSISTANT_002,AI 어시스턴트,STAR 진행,STAR 방식 단계별 대화 진행,"- Situation(상황) 단계: 상황에 대한 질문 및 답변 수집<br>- Task(과제) 단계: 과제와 역할에 대한 질문 및 답변 수집<br>- Action(행동) 단계: 행동과 과정에 대한 질문 및 답변 수집<br>- Result(결과) 단계: 결과와 성과에 대한 질문 및 답변 수집<br>- 각 단계 완료 시 진행 상황 시각화 (체크 표시)<br>- 모든 단계 완료 시 STAR 초안 생성 버튼 활성화",상,REQ_ASSISTANT_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ASSISTANT_003,AI 어시스턴트,AI 응답 생성,AI 챗봇 응답 생성,"- 사용자 메시지 입력 시 AI 응답 생성<br>- 키워드 기반 또는 AI API를 통한 응답 생성<br>- 응답 생성 중 로딩 표시 (타이핑 애니메이션)<br>- 생성된 응답을 채팅 형식으로 표시<br>- 응답 내용을 STAR 데이터에 자동 저장",상,REQ_ASSISTANT_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ASSISTANT_004,AI 어시스턴트,STAR 초안 생성,대화 내용 기반 STAR 초안 생성,"- 모든 STAR 단계 완료 시 'STAR 초안 생성' 버튼 활성화<br>- 버튼 클릭 시 대화 내용을 기반으로 STAR 초안 자동 생성<br>- 생성된 초안을 STAR 에디터에 자동 로드<br>- 생성 완료 알림 표시",상,REQ_ASSISTANT_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_STAR_001,STAR 에디터,STAR 목록 조회,에피소드별 STAR 목록 조회,"- 사이드바 'STAR 정리하기' 탭에서 에피소드 노드 목록 조회<br>- 에피소드 노드를 카드 형식으로 표시<br>- 각 카드에 노드 트리 경로 표시<br>- 에피소드 카드 클릭 시 해당 에피소드의 STAR 에디터 표시",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_STAR_002,STAR 에디터,STAR 편집,STAR 에디터를 통한 내용 편집,"- STAR 에디터에서 Situation, Task, Action, Result 각각 편집 가능<br>- 텍스트 입력 및 수정<br>- 글자 수 실시간 표시 및 제한 검증<br>- 변경 사항 자동 저장 (Supabase DB)<br>- 저장 완료 알림 표시",상,REQ_STAR_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_STAR_003,STAR 에디터,STAR 저장,STAR 자기소개서 저장,"- STAR 작성 완료 시 자동으로 Supabase DB에 저장<br>- 노드 ID와 연결하여 저장<br>- 제목, 회사명, 역량 태그 등 메타데이터 저장<br>- 저장된 STAR는 아카이브에서 조회 가능",상,REQ_STAR_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_STAR_004,STAR 에디터,STAR 복사,STAR 내용 클립보드 복사,"- STAR 에디터에서 '복사' 버튼 클릭<br>- 전체 STAR 내용을 클립보드에 복사<br>- 복사 완료 토스트 메시지 표시<br>- 복사된 내용은 자기소개서에 바로 붙여넣기 가능",중,REQ_STAR_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_GAP_001,공백 진단,공백 진단 시작,공백 진단 프로세스 시작,"- 공백 진단 사이드바 진입<br>- 부족 역량확인 탭 선택<br>- 기업 및 직무 선택 후 문항 체크 진행 (REQ_GAP_001_001 참조)",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_GAP_001_001,공백 진단,공백 진단 시작,기업/직무 선택,공백 진단을 위한 기업 및 직무 선택,"- 기업 목록에서 기업 선택 (삼성전자, 현대자동차, KIA 등)<br>- 선택한 기업의 직무 목록 표시<br>- 직무 선택 (SW개발, 연구개발, 마케팅 등)<br>- 선택 완료 시 해당 직무의 문항 목록 표시",상,REQ_GAP_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_GAP_001_002,공백 진단,공백 진단 시작,문항 체크,문항별 답변 어려움 평가,"- 선택한 직무의 최근 5년간 문항 목록 표시<br>- 각 문항에 대해 답변 어려움 정도 선택 (쉬움/보통/어려움)<br>- 어려움 선택 시 해당 문항의 역량 태그 추출<br>- 추출된 역량을 추천 인벤토리에 자동 추가<br>- 다음 문항으로 자동 이동 또는 수동 이동",상,REQ_GAP_001_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_GAP_001_003,공백 진단,공백 진단 시작,분석 결과,공백 진단 결과 요약 및 확인,"- 진단 완료 시 결과 요약 표시<br>- 어려운 문항 개수 및 부족한 역량 개수 표시<br>- 추천 인벤토리에 추가된 역량 목록 표시<br>- 결과 확인 후 마인드맵으로 이동하여 부족한 경험 추가 안내",중,REQ_GAP_001_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_GAP_002,공백 진단,추천 인벤토리 관리,부족한 역량 추천 인벤토리 관리,"- 공백 진단 결과로 추출된 역량을 추천 인벤토리에 추가<br>- 추천 인벤토리에서 역량 태그 목록 조회<br>- 역량 태그를 마인드맵 노드로 드래그하여 추가 가능<br>- 역량 태그 삭제 기능<br>- 역량 태그와 연결된 문항 목록 조회",상,REQ_GAP_001_003,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_SHARE_001,공유 기능,공유 링크 생성,마인드맵 노드 공유 링크 생성,"- 노드 우클릭 메뉴에서 '공유하기' 선택<br>- 공유할 노드와 하위 노드 정보 수집<br>- STAR 에셋 포함 여부 선택 가능<br>- 공유 노드 정보를 Supabase shared_nodes 테이블에 저장<br>- 공유 링크 생성: /share/{nodeId}<br>- 공유 링크를 클립보드에 자동 복사<br>- 복사 완료 토스트 메시지 표시<br>- 노드에 공유 상태 표시 (공유 아이콘)",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_SHARE_002,공유 기능,공유 노드 조회,공유 링크를 통한 노드 조회,"- 공유 링크 접근 시 공유 노드 정보 조회<br>- 로그인하지 않은 사용자도 조회 가능 (읽기 전용)<br>- 공유된 노드와 하위 노드들을 마인드맵 형식으로 표시<br>- STAR 에셋이 포함된 경우 사이드바에 표시<br>- 공유한 사용자 정보 표시 (이름, 이메일, 공유일)<br>- 읽기 전용 모드 안내 오버레이 표시",상,REQ_SHARE_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_SHARE_003,공유 기능,공유 노드 편집,로그인한 사용자의 공유 노드 편집,"- 공유 페이지에서 로그인<br>- 로그인 후 편집 모드로 전환<br>- 노드 추가, 수정, 삭제 가능<br>- 노드 위치 이동 가능<br>- STAR 작성 가능<br>- 변경 사항을 원본 프로젝트에 반영<br>- 실시간 협업 가능 (YJS 기반)",상,REQ_SHARE_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_SHARE_004,공유 기능,공유 해제,노드 공유 링크 해제,"- 공유된 노드에서 우클릭 메뉴에서 '공유 해제' 선택<br>- 공유 해제 확인 다이얼로그 표시<br>- 확인 시 shared_nodes 테이블에서 공유 정보 삭제<br>- 노드의 공유 상태 제거<br>- 기존 공유 링크는 더 이상 접근 불가",중,REQ_SHARE_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ARCHIVE_001,아카이브,에피소드 조회,에피소드 목록 조회,"- 아카이브 페이지 진입<br>- 모든 프로젝트의 에피소드 노드를 테이블 형식으로 표시<br>- 계층 구조 표시 (프로젝트 > 대분류 > 경험 > 에피소드)<br>- 각 에피소드의 STAR 내용, 태그, 회사명 등 정보 표시<br>- 페이지네이션 또는 무한 스크롤 지원",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ARCHIVE_002,아카이브,에피소드 검색,에피소드 검색 기능,"- 검색어 입력<br>- 에피소드 라벨, STAR 내용, 태그에서 검색<br>- 실시간 검색 결과 필터링<br>- 검색 결과 하이라이트 표시",중,REQ_ARCHIVE_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ARCHIVE_003,아카이브,에피소드 필터링,에피소드 필터링 기능,"- 대분류(배지)별 필터링<br>- 역량 태그별 필터링<br>- 회사명별 필터링<br>- 여러 필터 조건 조합 가능<br>- 필터 적용 시 즉시 결과 반영",중,REQ_ARCHIVE_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ARCHIVE_004,아카이브,에피소드 편집,테이블에서 직접 STAR 내용 편집,"- 테이블의 STAR 내용 셀 클릭<br>- 인라인 편집 모드로 전환<br>- 텍스트 수정<br>- Enter 키 또는 포커스 아웃 시 저장<br>- 변경 사항을 Supabase DB에 저장<br>- 변경 사항 즉시 반영",상,REQ_ARCHIVE_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ARCHIVE_005,아카이브,에피소드 삭제,아카이브에서 에피소드 삭제,"- 에피소드 행에서 삭제 버튼 클릭<br>- 삭제 확인 다이얼로그 표시<br>- 확인 시 해당 에피소드 및 STAR 에셋 삭제<br>- 삭제 내용을 Supabase DB에 반영<br>- 목록에서 즉시 제거",중,REQ_ARCHIVE_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DASHBOARD_001,대시보드,STAR 목록 조회,저장된 STAR 자기소개서 목록 조회,"- 대시보드 페이지 진입<br>- 모든 프로젝트의 STAR 자기소개서 목록 조회<br>- 카드 형식으로 표시 (제목, 회사명, 역량 태그, 작성일)<br>- 최근 작성일 기준 내림차순 정렬",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DASHBOARD_002,대시보드,STAR 검색,STAR 자기소개서 검색,"- 검색어 입력<br>- 제목, 내용, 회사명, 역량 태그에서 검색<br>- 실시간 검색 결과 필터링",중,REQ_DASHBOARD_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DASHBOARD_003,대시보드,STAR 상세 조회,STAR 자기소개서 상세 내용 조회,"- STAR 카드 클릭 시 상세 다이얼로그 표시<br>- Situation, Task, Action, Result 전체 내용 표시<br>- 제목, 회사명, 역량 태그 등 메타데이터 표시<br>- 작성일 표시",상,REQ_DASHBOARD_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DASHBOARD_004,대시보드,STAR 삭제,STAR 자기소개서 삭제,"- STAR 카드에서 삭제 버튼 클릭<br>- 삭제 확인 다이얼로그 표시<br>- 확인 시 STAR 에셋 삭제<br>- 목록에서 즉시 제거",중,REQ_DASHBOARD_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DASHBOARD_005,대시보드,STAR 복사,STAR 자기소개서 클립보드 복사,"- STAR 상세 다이얼로그에서 복사 버튼 클릭<br>- 전체 STAR 내용을 클립보드에 복사<br>- 복사 완료 토스트 메시지 표시",중,REQ_DASHBOARD_003,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DIALOG_001,다이얼로그,노드 추가,태그 드롭 확인,노드 이름 입력,"- 공백 진단의 역량 태그를 마인드맵 노드에 드롭 시 다이얼로그 표시<br>- 노드 층위에 따른 안내 문구 표시<br>- 관련 역량 태그 정보 표시<br>- 노드 이름 입력 필드 제공<br>- Enter 키로 생성, ESC 키로 취소",상,REQ_NODE_006,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DIALOG_002,다이얼로그,노드 추가,태그 드롭 확인,노드 생성 확인,"- 생성하기 버튼 클릭 시 새 노드 생성<br>- 노드 생성 후 다이얼로그 닫기<br>- AI 어시스턴트 자동 열기 및 새 노드 선택",상,REQ_DIALOG_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ONBOARDING_001,온보딩,마인드맵 튜토리얼,튜토리얼 표시,"- 마인드맵 편집 페이지 최초 진입 시 튜토리얼 오버레이 표시<br>- 4단계로 구성 (계층 구조, 공백 진단, 어시스턴트, 캔버스 조작)<br>- 단계별 설명 및 안내<br>- 이전/다음 버튼으로 단계 이동<br>- 건너뛰기 기능 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_ONBOARDING_002,온보딩,마인드맵 튜토리얼,튜토리얼 완료,"- 모든 단계 완료 또는 건너뛰기 시 튜토리얼 표시 여부 저장<br>- localStorage에 저장하여 재진입 시 표시하지 않음",중,REQ_ONBOARDING_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_LANDING_001,랜딩,랜딩 페이지,메인 뷰,"- 서비스 소개 및 주요 기능 안내<br>- 로그인하지 않은 사용자도 접근 가능<br>- 기능 소개 섹션 (마인드맵, 공백 진단, 아카이브)<br>- 시작하기 버튼 제공",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_LANDING_002,랜딩,랜딩 페이지,OAuth 콜백 처리,"- OAuth 인증 코드가 URL 파라미터로 전달되면 콜백 페이지로 리다이렉트<br>- returnUrl이 있으면 해당 페이지로 이동",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_FEATURE_001,기능 소개,마인드맵,마인드맵 기능 소개 페이지,"- 마인드맵 기능 상세 설명<br>- 주요 기능 소개 (시각적 구조화, 직관적 편집, AI 어시스턴트, 경험 공유)<br>- 시작하기 버튼 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_FEATURE_002,기능 소개,공백 진단,공백 진단 기능 소개 페이지,"- 공백 진단 기능 상세 설명<br>- 주요 기능 소개 (기출 문항 기반, 직무별 맞춤 분석, 부족한 역량 식별, 체계적인 진단)<br>- 시작하기 버튼 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_FEATURE_003,기능 소개,아카이브,아카이브 기능 소개 페이지,"- 아카이브 기능 상세 설명<br>- 주요 기능 소개<br>- 시작하기 버튼 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_SIDEBAR_001,사이드바,사이드바 관리,사이드바 너비 조절,"- 사이드바 왼쪽 가장자리에 마우스 커서를 올리면 리사이즈 커서 표시<br>- 드래그하여 사이드바 너비 조절<br>- 최소 너비 제한 (기본 320px)<br>- 최대 너비 제한 (화면 너비의 80%)<br>- 너비 변경 시 즉시 반영",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DATA_001,데이터 관리,기업 정보,기업 목록 조회,"- 공백 진단 또는 기타 기능에서 기업 목록 조회<br>- 활성화된 기업만 표시<br>- 산업별, 이름순 정렬<br>- 기업 로고 및 정보 표시",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DATA_002,데이터 관리,직무 정보,직무 목록 조회,"- 기업 선택 시 해당 기업의 직무 목록 조회<br>- 직무를 카테고리별로 그룹화 표시<br>- 직무명, 부서, 카테고리 정보 표시",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_DATA_003,데이터 관리,문항 정보,자기소개서 문항 조회,"- 직무 선택 시 해당 직무의 최근 5년간 문항 조회<br>- 채용 공고별(년도, 상/하반기)로 그룹화<br>- 문항 번호, 내용, 최대 글자 수, 역량 유형 표시<br>- 최신 채용 공고 우선 표시",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_UI_001,UI/UX,반응형 디자인,모바일 웹 반응형 디자인,"- PC, 태블릿, 모바일 화면 크기에 맞춰 레이아웃 자동 조정<br>- 터치 제스처 지원 (드래그, 줌 등)<br>- 모바일에서도 모든 기능 정상 작동<br>- 모바일 최적화된 UI 컴포넌트 사용",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_UI_002,UI/UX,애니메이션,페이지 전환 애니메이션,"- 페이지 이동 시 페이드 인/아웃 애니메이션<br>- 컴포넌트 등장 시 부드러운 애니메이션<br>- Framer Motion을 활용한 고품질 애니메이션<br>- 성능 최적화 (60fps 유지)",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_UI_003,UI/UX,로딩 상태,데이터 로딩 중 상태 표시,"- 데이터 로딩 중 스피너 표시<br>- 로딩 메시지 표시<br>- 에러 발생 시 에러 메시지 표시<br>- 재시도 기능 제공",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
